commit	race_score	COMP	DEPTH	INST	READ	latency_sec	agent_tokens	judge_tokens	total_tokens	agent_llm_calls	status	description	change_note
fc6c3de6334afe362d7ae7b63ca5917444af9527	4.2000	3.8000	3.8000	4.6000	4.6000	206.861	188795	85389	274184	61	improved	baseline — measure starting RACE score with no agent changes	baseline — measure starting RACE score with no agent changes; modified deep research agent implementation details.
a87aac94449055dcb1cae91137004e64958ab999	3.8000	3.4000	4.0000	3.6000	4.2000	132.820	148304	77303	225607	57	recorded	add structured output format (Findings/Analysis/Limitations) to main agent prompt	add structured output format (Findings/Analysis/Limitations) to main agent prompt; adjusted main agent system prompt or task organization; adjusted Tavily search tool or parameters; adjusted how the main agent invokes the research subagent; adjusted model generation parameters.
6e6bb99e19965014bcd59a977c2ed10e11cedb97	4.2500	3.8000	4.0000	4.4000	4.8000	139.027	145466	85250	230716	54	recorded	increase subagent calls to 2-3, search calls to 2-3, remove rigid output format	increase subagent calls to 2-3, search calls to 2-3, remove rigid output format; adjusted main agent system prompt or task organization; adjusted research subagent prompt; adjusted Tavily search tool or parameters; adjusted how the main agent invokes the research subagent.
c8b5553901fe671d82f47d328d81a97c12c269cc	4.3500	3.8000	4.2000	4.6000	4.8000	220.171	189643	84502	274145	61	improved	diversify subagent scope per call (theory vs methods vs implementation)	diversify subagent scope per call (theory vs methods vs implementation); adjusted main agent system prompt or task organization; adjusted how the main agent invokes the research subagent.
e148aaabddcd6dc8cb0517f550d61da4406c463d	4.0500	3.4000	3.8000	4.4000	4.6000	168.602	149173	81890	231063	46	recorded	force exactly 3 subagent calls and 3 searches each to maximise topic coverage	force exactly 3 subagent calls and 3 searches each to maximise topic coverage; adjusted main agent system prompt or task organization; adjusted research subagent prompt; adjusted Tavily search tool or parameters; adjusted how the main agent invokes the research subagent.
6c09fd35d5aae80d2bc42a2c5af2bd0bdbcaae69	4.5500	4.2000	4.2000	4.8000	5.0000	192.789	196281	87781	284062	62	improved	add question decomposition — enumerate sub-topics before dispatching subagents	add question decomposition — enumerate sub-topics before dispatching subagents; adjusted main agent system prompt or task organization; adjusted research subagent prompt; adjusted Tavily search tool or parameters; adjusted how the main agent invokes the research subagent.
c12455703ccd00d88c102f911c130030968e4102	4.7000	4.4000	4.4000	5.0000	5.0000	199.094	264772	88217	352989	77	improved	add post-research coverage check to catch missing sub-topics	add post-research coverage check to catch missing sub-topics; adjusted how the main agent invokes the research subagent.
426cf02b040d6e19d932b556acbc1b11d48efe22	4.8000	4.6000	4.6000	5.0000	5.0000	224.530	284862	92374	377236	81	improved	structured search angles + depth hint for theoretical/mechanistic coverage	structured search angles + depth hint for theoretical/mechanistic coverage; adjusted research subagent prompt; adjusted Tavily search tool or parameters.
bd3d7fc74c1992288073dd4cc5635661c38992b4	4.5000	4.2000	4.2000	4.8000	4.8000	209.696	250023	92195	342218	74	recorded	expand coverage check with temporal/motivational dimensions + long-term search angle	expand coverage check with temporal/motivational dimensions + long-term search angle; adjusted research subagent prompt; adjusted Tavily search tool or parameters; adjusted how the main agent invokes the research subagent.
dee225d304c255d60abdc7bca993bc21639af26e	4.8000	4.6000	4.6000	5.0000	5.0000	190.268	262266	94120	356386	73	recorded	revert R9 regression, add sociocultural synthesis hint for drb_en_100	revert R9 regression, add sociocultural synthesis hint for drb_en_100; adjusted research subagent prompt; adjusted Tavily search tool or parameters; adjusted how the main agent invokes the research subagent.
e05cc0c2b64e2fc75ebecf72ace1587c33b35488	4.8000	4.6000	4.6000	5.0000	5.0000	182.432	229171	92043	321214	59	recorded	default subagent to 3 searches for deeper per-sub-topic evidence	default subagent to 3 searches for deeper per-sub-topic evidence; adjusted research subagent prompt; adjusted Tavily search tool or parameters.
4ebc846c6f4bbd7d5100c24b8b9dcf656a759e22	4.7000	4.4000	4.4000	5.0000	5.0000	233.314	301004	92540	393544	74	recorded	remove escape hatch so subagent reliably does 3 searches	remove escape hatch so subagent reliably does 3 searches; adjusted Tavily search tool or parameters.
254dd0ffd391ea6977f6f2c51d23d129bcc20d94	4.7500	4.6000	4.6000	5.0000	4.8000	260.240	331002	92810	423812	82	recorded	granular sub-topic decomposition to specific methods + revert to 2-3 searches	granular sub-topic decomposition to specific methods + revert to 2-3 searches; adjusted research subagent prompt; adjusted Tavily search tool or parameters; adjusted how the main agent invokes the research subagent.
87035842ab032c6b52ea941f54961ba7215ffbe4	4.8000	4.6000	4.8000	5.0000	4.8000	259.333	361685	96440	458125	92	recorded	remove tool-list example to prevent density regression in drb_en_68	remove tool-list example to prevent density regression in drb_en_68; adjusted how the main agent invokes the research subagent.
241468c444a8980bdd54a455455899397ebfb0aa	4.4500	4.2000	4.4000	4.4000	4.8000	207.596	241101	99077	340178	65	recorded	add synthesis self-review step to expand superficially covered sub-topics	add synthesis self-review step to expand superficially covered sub-topics; adjusted how the main agent invokes the research subagent.
fd71fbfb3c65d0acae962cfa397154ebeb95c3bd	4.7000	4.4000	4.6000	4.8000	5.0000	208.661	249420	93466	342886	72	recorded	revert R14+R15, add readability formatting hint for tables over dense prose	revert R14+R15, add readability formatting hint for tables over dense prose; adjusted how the main agent invokes the research subagent.
